UserId,Variant,Week,NumBets,TotalStake,AvgStakePerBet,MaxStake,AvgSelections
0192cc80-656c-46f4-a092-118f895b5162,Dark,1,9,282.0,31.33,88.0,1.67
223f3159-6beb-4f7e-a535-707daa1a2f44,Ethical,1,8,176.0,22.0,44.0,1.38
27449488-f645-4afb-8574-6a2a866b48f4,Ethical,1,1,75.0,75.0,75.0,1.0
36aaad1d-8604-4a99-a4a7-f03b15e839df,Ethical,1,6,97.0,16.17,23.0,1.67
36e9cf9e-9437-4894-9ae5-595d95117bc1,Dark,1,2,30.0,15.0,20.0,1.5
3d2fb460-6aa3-4d4a-b52c-880aa756dda1,Dark,1,13,502.0,38.62,112.0,1.69
3db6425f-73e7-4f7f-ab88-1134e097fd5b,Ethical,1,4,126.0,31.5,84.0,1.25
4500baff-cb06-46d3-ba87-68cc617bde5f,Dark,1,6,170.0,28.33,40.0,1.67
5717abd6-5f8a-465f-a412-2a5bfa11c564,Dark,1,4,129.0,32.25,76.0,2.0
5be41bbb-503a-4a8c-a513-682f63de00a5,Ethical,1,3,28.0,9.33,11.0,1.67
6256d4b2-a7ef-479a-9793-0c1735f25e85,Ethical,1,2,24.0,12.0,19.0,1.0
6b0900c8-6e37-4b5e-82cb-0a054540c6c3,Dark,1,17,467.0,27.47,45.0,1.53
6dbe7567-822c-4848-8772-826ffb43a6a0,Dark,1,17,787.0,46.29,148.0,1.88
6f93687d-542d-42aa-9495-bb579b2a193e,Ethical,1,1,9.0,9.0,9.0,2.0
707a0648-f3ca-4d06-9b48-dab8e2a8b5af,Dark,1,32,1203.0,37.59,59.0,1.69
72d999af-07ec-4415-974c-abf642c86538,Dark,1,12,328.0,27.33,88.0,1.75
786b63d8-fe84-4031-90a0-ae201c76a678,Dark,1,21,926.0,44.1,112.0,2.19
7ae04994-1f9b-4233-9c51-0cee3bf1320c,Ethical,1,1,19.0,19.0,19.0,1.0
7def8a4d-8255-48b8-886f-191aec185e55,Dark,1,6,133.0,22.17,45.0,2.0
7fb7c051-b362-40f7-8efa-2f2a7dc6206a,Ethical,1,12,262.0,21.83,37.0,1.67
86bc0ab8-10fd-4530-a85f-e9692caa6516,Dark,1,7,220.0,31.43,100.0,1.71
8777ceeb-c0fe-4f78-8e86-dd5428507c32,Ethical,1,1,17.0,17.0,17.0,2.0
8d479225-84cc-4d0f-b3e6-3f61a2764b26,Ethical,1,9,101.0,11.22,23.0,1.56
8df5a4ae-de1e-4a38-a512-df8910505396,Ethical,1,4,56.0,14.0,19.0,1.5
9ad14b84-d581-426b-967c-9359c7b533f7,Dark,1,18,790.0,43.89,100.0,1.94
a040f35e-2eff-400f-bcd2-ac2f4611e6da,Ethical,1,5,113.0,22.6,37.0,1.0
a7f1c0d2-9e34-4b88-8c21-0fd6b2e54a90,Dark,1,17,520.0,30.59,100.0,2.18
b9119b29-1ad9-4429-a3d5-576d7e597947,Dark,1,18,773.0,42.94,148.0,1.72
c8171d1d-2e75-491c-be09-34bf9df581ff,Ethical,1,9,210.0,23.33,75.0,1.44
c8e5acc0-ddb4-478d-ad73-5654826e7355,Ethical,1,8,233.0,29.12,75.0,1.5
c99842c8-51e7-420e-b187-6cd2bbbd2242,Dark,1,13,360.0,27.69,100.0,1.92
d6692bfa-902b-4f99-997c-e8e794a36d21,Ethical,1,4,85.0,21.25,34.0,1.75
e0ce78ab-5c37-4015-a43e-0327eca7d411,Ethical,1,5,120.0,24.0,57.0,1.2
e325cae0-ec05-405b-b39e-9d316f5a4c15,Ethical,1,18,562.0,31.22,111.0,1.56
e53f6300-8b8a-4b7d-9acc-007b67a1a6bc,Dark,1,22,440.0,20.0,40.0,2.0
e7e0cf4f-0487-427f-9edd-f5f7427b1058,Ethical,1,2,16.0,8.0,8.0,1.0
ee0da921-8d1f-4bfa-bef0-375bda8d63b6,Dark,1,27,970.0,35.93,100.0,1.81
fda732af-1a91-41d6-b91e-15ee3098151f,Dark,1,5,179.0,35.8,45.0,2.2
fe0798a3-83e9-44d2-95a1-221b586c3572,Ethical,1,14,686.0,49.0,111.0,1.71
