Variant,UserId,BettingActions,CasinoActions,FinancialActions,DarkPatternActions,TotalCoreGamblingActions
Dark,0192cc80-656c-46f4-a092-118f895b5162,47.0,1,1.0,0.0,48.0
Dark,36e9cf9e-9437-4894-9ae5-595d95117bc1,11.0,27,0.0,0.0,38.0
Dark,3d2fb460-6aa3-4d4a-b52c-880aa756dda1,66.0,48,1.0,3.0,114.0
Dark,4500baff-cb06-46d3-ba87-68cc617bde5f,24.0,77,0.0,5.0,101.0
Dark,5717abd6-5f8a-465f-a412-2a5bfa11c564,22.0,1,0.0,0.0,23.0
Dark,6b0900c8-6e37-4b5e-82cb-0a054540c6c3,80.0,261,2.0,37.0,341.0
Dark,6dbe7567-822c-4848-8772-826ffb43a6a0,96.0,284,3.0,23.0,380.0
Dark,707a0648-f3ca-4d06-9b48-dab8e2a8b5af,151.0,547,2.0,29.0,698.0
Dark,72d999af-07ec-4415-974c-abf642c86538,65.0,197,4.0,20.0,262.0
Dark,786b63d8-fe84-4031-90a0-ae201c76a678,112.0,190,2.0,26.0,302.0
Dark,7def8a4d-8255-48b8-886f-191aec185e55,32.0,237,2.0,32.0,269.0
Dark,86bc0ab8-10fd-4530-a85f-e9692caa6516,37.0,226,2.0,37.0,263.0
Dark,9ad14b84-d581-426b-967c-9359c7b533f7,96.0,202,5.0,14.0,298.0
Dark,a7f1c0d2-9e34-4b88-8c21-0fd6b2e54a90,101.0,165,4.0,18.0,266.0
Dark,b9119b29-1ad9-4429-a3d5-576d7e597947,93.0,354,3.0,43.0,447.0
Dark,c99842c8-51e7-420e-b187-6cd2bbbd2242,64.0,110,3.0,9.0,174.0
Dark,e53f6300-8b8a-4b7d-9acc-007b67a1a6bc,116.0,154,2.0,8.0,270.0
Dark,ee0da921-8d1f-4bfa-bef0-375bda8d63b6,137.0,162,2.0,16.0,299.0
Dark,fcc80b9b-7241-4507-b3be-27e2268750fd,0.0,14,0.0,0.0,14.0
Dark,fda732af-1a91-41d6-b91e-15ee3098151f,29.0,1,0.0,0.0,30.0
Ethical,223f3159-6beb-4f7e-a535-707daa1a2f44,57.0,40,2.0,0.0,97.0
Ethical,27449488-f645-4afb-8574-6a2a866b48f4,5.0,10,2.0,0.0,15.0
Ethical,36aaad1d-8604-4a99-a4a7-f03b15e839df,34.0,1,2.0,0.0,35.0
Ethical,3db6425f-73e7-4f7f-ab88-1134e097fd5b,21.0,24,1.0,0.0,45.0
Ethical,5be41bbb-503a-4a8c-a513-682f63de00a5,17.0,1,0.0,0.0,18.0
Ethical,6256d4b2-a7ef-479a-9793-0c1735f25e85,10.0,1,0.0,0.0,11.0
Ethical,6f93687d-542d-42aa-9495-bb579b2a193e,10.0,1,0.0,0.0,11.0
Ethical,7ae04994-1f9b-4233-9c51-0cee3bf1320c,5.0,1,0.0,0.0,6.0
Ethical,7fb7c051-b362-40f7-8efa-2f2a7dc6206a,73.0,1,0.0,0.0,74.0
Ethical,8777ceeb-c0fe-4f78-8e86-dd5428507c32,6.0,30,0.0,0.0,36.0
Ethical,8d479225-84cc-4d0f-b3e6-3f61a2764b26,70.0,17,0.0,0.0,87.0
Ethical,8df5a4ae-de1e-4a38-a512-df8910505396,27.0,26,2.0,0.0,53.0
Ethical,a040f35e-2eff-400f-bcd2-ac2f4611e6da,25.0,58,0.0,0.0,83.0
Ethical,c8171d1d-2e75-491c-be09-34bf9df581ff,68.0,16,2.0,0.0,84.0
Ethical,c8e5acc0-ddb4-478d-ad73-5654826e7355,48.0,1,1.0,0.0,49.0
Ethical,d6692bfa-902b-4f99-997c-e8e794a36d21,28.0,58,2.0,0.0,86.0
Ethical,e0ce78ab-5c37-4015-a43e-0327eca7d411,26.0,33,0.0,0.0,59.0
Ethical,e325cae0-ec05-405b-b39e-9d316f5a4c15,114.0,34,0.0,0.0,148.0
Ethical,e7e0cf4f-0487-427f-9edd-f5f7427b1058,10.0,4,0.0,0.0,14.0
Ethical,fe0798a3-83e9-44d2-95a1-221b586c3572,80.0,99,0.0,0.0,179.0
