UserId,Variant,Week,MedianTTFB,MeanTTFB,MinTTFB,BettingSessions
0192cc80-656c-46f4-a092-118f895b5162,Dark,W1,27.4,28.0,14.8,4
0192cc80-656c-46f4-a092-118f895b5162,Ethical,W2,50.4,44.82,15.3,5
223f3159-6beb-4f7e-a535-707daa1a2f44,Dark,W2,27.45,31.983333333333334,17.2,6
223f3159-6beb-4f7e-a535-707daa1a2f44,Ethical,W1,89.5,92.9,11.6,5
27449488-f645-4afb-8574-6a2a866b48f4,Dark,W2,32.0,37.480000000000004,16.5,5
27449488-f645-4afb-8574-6a2a866b48f4,Ethical,W1,12.3,12.3,12.3,1
36aaad1d-8604-4a99-a4a7-f03b15e839df,Dark,W2,20.6,25.733333333333334,11.7,3
36aaad1d-8604-4a99-a4a7-f03b15e839df,Ethical,W1,68.1,58.17999999999999,16.2,5
36e9cf9e-9437-4894-9ae5-595d95117bc1,Dark,W1,31.55,31.55,15.9,2
36e9cf9e-9437-4894-9ae5-595d95117bc1,Ethical,W2,82.4,82.58,15.5,5
3d2fb460-6aa3-4d4a-b52c-880aa756dda1,Dark,W1,37.3,34.93333333333333,17.9,3
3d2fb460-6aa3-4d4a-b52c-880aa756dda1,Ethical,W2,63.199999999999996,73.89999999999999,43.7,12
3db6425f-73e7-4f7f-ab88-1134e097fd5b,Dark,W2,89.9,108.9375,59.2,8
3db6425f-73e7-4f7f-ab88-1134e097fd5b,Ethical,W1,42.0,53.625,13.7,4
4500baff-cb06-46d3-ba87-68cc617bde5f,Dark,W1,46.4,46.699999999999996,11.5,3
4500baff-cb06-46d3-ba87-68cc617bde5f,Ethical,W2,56.3,66.02222222222221,24.9,9
5717abd6-5f8a-465f-a412-2a5bfa11c564,Dark,W1,13.6,13.6,13.6,1
5717abd6-5f8a-465f-a412-2a5bfa11c564,Ethical,W2,186.39999999999998,186.39999999999998,84.9,2
5be41bbb-503a-4a8c-a513-682f63de00a5,Dark,W2,98.1,98.1,74.6,2
5be41bbb-503a-4a8c-a513-682f63de00a5,Ethical,W1,71.1,71.1,17.2,2
