Label,Viewed,Cancelled,ProtectionRate,UsersWhoCancel,TotalUsers
Grup B Ethical W1 (prima oara Ethical),89,20,22.5,9,20
Grup A Ethical W2 (dupa Dark),124,14,11.3,10,20
