,Prudent,Recreational,Engaged,Highly Engaged
Prudent,0.8072,0.1566,0.0361,0.0
Recreational,0.8182,0.1818,0.0,0.0
Engaged,1.0,0.0,0.0,0.0
Highly Engaged,0.0,0.0,0.0,0.0
