Variant,Prudent,Recreational,Engaged,Highly Engaged,Total,Prudent_%,Recreational_%,Engaged_%,Highly Engaged_%
Dark,76,7,40,103,226,33.6,3.1,17.7,45.6
Ethical,163,27,6,0,196,83.2,13.8,3.1,0.0
