Metric,Dark,Ethical
BetAttempted (total),266.0,137.0
BetConfirmationViewed,0.0,89.0
BetConfirmationCancelled,0.0,20.0
BetPlaced (total),266.0,117.0
Abandon rate (%),0.0,14.6
Protection rate (Canc/Viewed %),0.0,22.5
Useri cu confirmare vizualizata,0.0,19.0
Useri cu cel putin o anulare,0.0,9.0
