,HOME,BROWSE,BETSLIP,CONFIRM,BET,CASINO,DEPOSIT,EXIT
HOME,0.0,0.6094,0.0,0.0,0.0,0.375,0.0,0.0156
BROWSE,0.0,0.0,0.9402,0.0,0.008,0.0,0.008,0.0438
BETSLIP,0.0,0.661,0.0,0.3178,0.0,0.0127,0.0,0.0085
CONFIRM,0.0,0.08,0.0,0.0,0.84,0.0533,0.0133,0.0133
BET,0.0,0.4478,0.0,0.0,0.0,0.2687,0.0597,0.2239
CASINO,0.0,0.4681,0.0,0.0,0.0426,0.0,0.1277,0.3617
DEPOSIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EXIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
