,Prudent,Recreational,Engaged,Highly Engaged
Prudent,0.3226,0.0645,0.1613,0.4516
Recreational,0.2,0.0,0.6,0.2
Engaged,0.2941,0.0294,0.1765,0.5
Highly Engaged,0.3529,0.0118,0.1647,0.4706
