,Prudent,Recreational,Engaged,Highly Engaged
Prudent,0.8182,0.1515,0.0303,0.0
Recreational,0.8333,0.1667,0.0,0.0
Engaged,0.6667,0.1667,0.1667,0.0
Highly Engaged,0.0,0.0,0.0,0.0
