,Prudent,Recreational,Engaged,Highly Engaged
Prudent,0.3333,0.0741,0.1852,0.4074
Recreational,0.3333,0.0,0.6667,0.0
Engaged,0.3333,0.0,0.2222,0.4444
Highly Engaged,0.2791,0.0233,0.1628,0.5349
